id,name,type_1,type_2,division,location,constituency,latitude,longitude
1,JAMUHURI PRY,MIXED,DAY ONLY,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI,-1.300006,36.765673
2,NAIROBI PRI SCH,MIXED,DAY & BOARDING,WESTLANDS,KILIMANI,WESTLANDS,-1.281283,36.810075
3,NGONG FOREST PRIMARY SCHOOL,MIXED,DAY ONLY,KIBERA,KAREN,LANGATA,-1.303246,36.723752
4,MOI FORCES ACADEMY PRI,MIXED,DAY ONLY,PUMWANI,EASTLEIGH NORTH,KAMUKUNJI,-1.262655,36.872433
5,NGEI PRI SCH,MIXED,DAY ONLY,KIBERA,MUGUMOINI,LANGATA,-1.320915,36.784993
6,KABETE REHAB. SCH.,BOYS ONLY,BOARDING ONLY,WESTLANDS,KITISURU,WESTLANDS,-1.237276,36.730168
7,BABADOGO PRI SCH,MIXED,DAY ONLY,KASARANI,KARIOBANGI,KASARANI,-1.240739,36.885685
8,DOONHOLM PRI SCH,MIXED,DAY ONLY,EMBAKASI,DOONHOLM,EMBAKASI,-1.293889,36.89361
9,VISA OSHWAL PRI SCH,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.259111,36.807092
10,DR AGGREY PRI SCH,MIXED,DAY ONLY,STAREHE,KARIOKOR,STAREHE,-1.276711,36.840805
11,MAKONGENI PRI SCH,MIXED,DAY ONLY,MAKADARA,MAKONGENI,MAKADARA,-1.296621,36.850161
12,LANGATA WEST PRI  SCH,MIXED,DAY ONLY,KIBERA,MUGUMOINI,LANGATA,-1.320422,36.779689
13,MARARUI PRIMARY SCH,MIXED,DAY ONLY,KASARANI,ROYSAMBU,KASARANI,-1.20804,36.86375
14,DR. MUTHIORA PRI SCH,MIXED,DAY ONLY,DAGORETTI,MUTUINI,DAGORETTI,-1.286084,36.699142
15,ST. MARYS KAREN PRI,MIXED,DAY ONLY,KIBERA,KAREN,LANGATA,-1.322661,36.710275
16,PARKLANDS PRI SCH,MIXED,DAY ONLY,STAREHE,NGARA,STAREHE,-1.267351,36.818123
17,OFAFA JERICHO PRI SCH,MIXED,DAY ONLY,MAKADARA,MAKADARA,MAKADARA,-1.285491,36.868929
18,RABAI ROAD PRI SCH,MIXED,DAY ONLY,MAKADARA,MAKADARA,MAKADARA,-1.286176,36.872801
19,BIDII PRI SCH,MIXED,DAY ONLY,MAKADARA,MAKADARA,MAKADARA,-1.283137,36.880379
20,MATHARE 4A PRI SCH,MIXED,DAY ONLY,KASARANI,RUARAKA,KASARANI,-1.254665,36.862705
21,NJOKIM JUNIOR ACADEMY,MIXED,DAY ONLY,EMBAKASI,DANDORA,EMBAKASI,-1.238954,36.908377
22,ZAWADI PRI SCH,MIXED,DAY ONLY,PUMWANI,EASTLEIGH SOUTH,KAMUKUNJI,-1.283376,36.854984
23,WAITHAKA SPECIAL SCH,MIXED,DAY & BOARDING,DAGORETTI,MUTUINI,DAGORETTI,-1.285185,36.697277
24,KHALSA PRI SCH,MIXED,DAY ONLY,KIBERA,NAIROBI WEST,LANGATA,-1.312845,36.830039
25,NDURURUNO PRI SCH,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.258401,36.875891
26,MM CHANDARIA PRI SCH,MIXED,BOARDING ONLY,KASARANI,KARIOBANGI,KASARANI,-1.241308,36.884294
27,MUTHAIGA PRI SCH,MIXED,DAY ONLY,KASARANI,ROYSAMBU,KASARANI,-1.255604,36.844955
28,NORTH HIGHRIDGE PRI SCH,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.252302,36.821638
29,JACARANDA SPECIAL SCH PRI,MIXED,DAY ONLY,WESTLANDS,KILIMANI,WESTLANDS,-1.278917,36.785996
